Serial Number,Date of entry,Gender,Languages Spoken,Class,Year of Entry,Language with Parents,Language with Siblings,Language with Friends,Language in School,First English at ,Comprehension 1,Comprehension 2,Comprehension 3,Comprehension 4,Comprehension 5,
1,17/02/2023,F,"English, Yoruba",5,2018,"English, Yoruba","English, Yoruba","English, Yoruba",English,At home,1,1,1,1,1,
2,17/02/2023,M,"English, Yoruba, Pidgin English",4,2019,"English, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,1,1,1,1,1,
3,17/02/2023,F,"English, Igbo",5,2018,"English, Igbo","English, Igbo",English,English,At home,1,1,1,1,1,
4,17/02/2023,M,"English, Hausa, Bura",4,2019,"English, Bura",English,English,English,Play group,1,1,1,1,1,
6,17/02/2023,M,"English, Pidgin English, Gbagyi",3,2020,"English, Pidgin English, Gbagyi","English, Pidgin English, Gbagyi","English, Pidgin English, Gbagyi",English,Primary School,1,1,1,0,1,
8,17/02/2023,F,"English, Gbagyi, Hausa",4,2019,"English, Gbagyi, Hausa","Englisn, Gbagyi","English, Gbagyi",English,Play group,1,1,0,1,1,
9,17/02/2023,M,"Yoruba, English",5,2018,Yoruba,Yoruba,,English,Play group,1,1,1,1,1,
10,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba","English, Yoruba",English,Play group,1,1,1,0,1,
11,17/02/2023,F,"English, Gbagyi",4,2019,"English, Igbo",English ,English,English,At home,1,1,1,1,1,
12,17/02/2023,F,"English, Idoma",3,2020,"English, Idoma",English,English,English,Primary School,1,0,1,0,1,
13,17/02/2023,M,"English, Hausa, Gbagyi",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Play group,1,0,0,0,1,
14,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba","English, Yoruba",English,At home,1,1,1,1,1,
15,17/02/2023,F,"English, Ijona, Pidgin English",4,2019,"English, Ijona, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,0,1,1,1,1,
16,17/02/2023,F,"English, Yoruba",5,2018,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
17,17/02/2023,F,English,4,2019,English,English,English,English,At home,1,1,1,1,1,
18,17/02/2023,M,"English, Hausa, Bura",3,2020,"English, Hausa, Bura","English, Hausa, Bura","English, Hausa, Bura",English,At home,1,1,0,0,1,
19,17/02/2023,F,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
20,17/02/2023,M,"English, Hausa",3,2020,"English, Hausa","English, Hausa","English, Hausa",English,At home,1,1,1,0,1,
21,17/02/2023,M,"English, Yoruba",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,0,
22,27/03/2023,M,"English, Hausa",4,2019,English,English,English,English,At home,1,1,1,1,1,
23,27/03/2023,M,English,4,2019,English,English,English,English,At home,1,1,0,1,1,
24,27/03/2023,F,English,4,2019,English,English,English,English,At home,1,1,1,1,1,
25,27/03/2023,M,"English, Yoruba",4,2019,English,English,English,English,At home,1,1,1,1,1,
26,27/03/2023,M,"English, Igbo",3,2020,English,English,English,English,At home,1,1,0,1,1,
27,27/03/2023,F,"English, Tiv",3,2020,English,English,English,English,At home,1,1,0,1,1,
28,27/03/2023,F,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
29,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
30,27/03/2023,F,"English, Yoruba",3,2020,English,English,English,English,At home,1,1,1,1,1,
31,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
32,27/03/2023,F,"English, Igbo",3,2020,English,English,English,English,At home,1,1,0,1,1,
33,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,1,1,1,
34,27/03/2023,F,English,3,2020,English,English,English,English,At home,1,1,0,1,1,
35,27/03/2023,F,"English, Igbo",3,2020,English,English,English,English,At home,1,1,1,1,1,
36,27/03/2023,M,"English, Hausa, Tarok ",5,2018,"English, Tarok","English, Tarok","English, Tarok",English,At home,1,1,1,1,1,
37,27/03/2023,M,"English, Akwa Ibom",5,2018,English,English,English,English,At home,1,1,0,1,1,
38,27/03/2023,M,English,5,2018,English,English,English,English,At home,1,1,1,1,1,
39,27/03/2023,M,"English, Igala",5,2018,English,English,English,English,At home,1,1,1,1,1,
40,27/03/2023,M,"English, Amo, Hausa",5,2018,English,English,English,English,At home,1,1,1,1,1,
41,27/03/2023,M,"English, Hausa",3,2020,English,English,English,English,At home,1,1,0,1,1,
42,27/03/2023,F,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,0,1,1,
43,27/03/2023,F,"English, Yoruba",3,2020,Yoruba,Yoruba,English,English,At home,1,1,0,1,1,
44,27/03/2023,M,"English, Tarok",3,2020,Tarok,Tarok,English,English,Play group,1,1,0,1,1,
45,27/03/2023,M,English,3,2020,English,English,English,English,Primary School,1,1,0,1,1,
46,27/03/2023,F,"English, Tarok",3,2020,Tarok,Tarok,English,English,Play group,1,1,0,1,1,
47,29/03/2023,F,"English, Tiv",4,2020,"Tiv, English","Tiv, English",English,English,Primary School,1,1,1,1,1,
48,29/03/2023,F,"English, Tiv",4,2020,"Tiv, English","Tiv, English",English,English,At home,1,1,1,1,1,
49,29/03/2023,F,"Hausa, Fulfude",4,2020,"Hausa, Fulfude",,"Hausa, Fulfude",Pidgin English,Primary School,1,,0,0,1,
